time,ISC
1,0.085146815
2,0.022904392
3,0.087988064
4,0.187465945
5,0.410886006
6,0.696178465
7,0.486202206
8,0.272082431
9,-0.089315913
10,0.011720234
11,0.036263714
12,0.019989981
13,0.136640689
14,0.235603842
15,0.40726037
16,0.474124714
17,0.31690727
18,0.166053362
19,-0.038596091
20,-0.048866734
21,0.048540655
22,0.017838943
23,0.050950078
24,-0.033101174
25,-0.043276819
26,0.005960553
27,-0.000866941
28,-0.014906023
29,0.064118737
30,0.094739753
31,0.238790165
32,0.219226235
33,0.255823156
34,0.305499426
35,0.409530472
36,0.346532781
37,0.427087358
38,0.302455573
39,0.266043678
40,0.132342845
41,0.126567749
42,0.106990979
43,0.075072945
44,0.156853573
45,0.223158695
46,0.172875945
47,-0.041307998
48,-0.042734753
49,0.192974166
50,0.122752983
51,0.041206096
52,-0.077105097
53,-0.022584763
54,-0.093644781
55,-0.091344897
56,-0.148690113
57,-0.083169319
58,0.015559912
59,0.126139322
60,0.198365411
61,0.178567476
62,0.067198066
63,0.056390307
64,0.106974544
65,0.258135319
66,0.212437855
67,0.24454043
68,0.155602662
69,0.106964556
70,0.110415072
71,-0.009763522
72,0.015007873
73,-0.03451868
74,-0.006644142
